cell_type,HPD1_pre,HPD1_post,HPD2_pre,HPD2_post,HPD3_post,HPD3_pre,HPD4_pre,HPD4_post,HPD5_pre,HPD5_post,HPD6_pre,HPD6_post
Macrophage M2_QUANTISEQ,0.0329133352731098,0.070359607159286,0.0289533948066557,0.0307911881350303,0,0,0.00684181272941643,0.0429198315670448,0.0283690694900965,0.0429681595327681,0.0290482533075306,0.00450729379745435
Monocyte_QUANTISEQ,0,0,0,0,0.153648512634912,0.192976058701652,0,5.334777082626e-05,0,0,0.0159188814090653,0.013111453581266
Neutrophil_QUANTISEQ,0,0.0110633807473004,0.0388960399365013,0.0357148141244128,0,0,0.10797673544567,0.116402640950206,0.187617709513493,0.149973064023376,0.0969347595862682,0.0828417733607702
NK cell_QUANTISEQ,0.0186400876861572,0.0215022649686548,0.0176509553282586,0.0213304579730743,0.032133423088868,0.0487919292039117,0.0140935048380704,0.0203976873296816,0.0275828674185026,0.0368643487085437,0.0363484614285685,0.0320683917285338
T cell CD4+ (non-regulatory)_QUANTISEQ,0.0883840381359673,0,0,0,0,0,0.0251994198797797,0,0,0,0,0
T cell CD8+_QUANTISEQ,0.00750247722919898,0,0.00319102797974244,0,0.0290514824574314,0.0536182204504062,0.00235459853360209,0.0171846382529419,0,0,0.0111105696514085,0.0203109531111383
T cell regulatory (Tregs)_QUANTISEQ,0.138654089760821,0.0684101262238339,0.0205550561016869,0.0208168384428618,0.240501381185644,0.0788269961333208,0.0245753520548005,0.0252566157450902,0.0156370944389431,0.027962809302836,0.0605050887852399,0.0508761373078466
Myeloid dendritic cell_QUANTISEQ,0.159384089333771,0.114072800798041,0.0129578839867472,0.010657419864958,0.00497513232727549,0,0,0,0,0,0.00318107298642395,0
uncharacterized cell_QUANTISEQ,0.437325147791147,0.582250946495077,0.817883348099667,0.831814692540214,0.491871400547565,0.561662052165548,0.715684024931171,0.649179404477872,0.619777228334648,0.606189785553821,0.612521616923796,0.620449649014504
Myeloid dendritic cell activated_XCELL,0.200660083860529,0.177941402051116,0.0057810908198824,0,4.76165044255034e-18,0,0.0323128625297265,0.0629473506657671,0.11467016923872,0.173874501332376,0.157102067493556,0.210644630172124
B cell_XCELL,0.0895601225407411,0.0430801900019743,0,0,2.17401226651931e-19,0.0413889925783102,0,0,9.20816591968891e-20,0,2.89226062703089e-19,2.31835141004723e-19
T cell CD4+ memory_XCELL,1.4323074353191e-19,1.96214688964526e-19,0,0,0,0,8.87023449599739e-20,0,0,0,0,0
T cell CD4+ naive_XCELL,0.0223370952736649,0,3.42750684148373e-18,2.92936553042938e-18,1.11827626764863e-19,4.72569538879327e-18,1.34958199025304e-17,3.25596621265072e-18,3.63890704462736e-18,1.14606023316373e-18,0,0
T cell CD4+ (non-regulatory)_XCELL,0.00643504895763946,0.0188733348378424,2.78355127112052e-18,0,0,3.26731082585655e-18,0,0,0,4.78080601210892e-18,0,0
T cell CD4+ central memory_XCELL,0.0479783453084169,4.00045489108986e-18,0,2.13980277500013e-19,1.7783937389417e-18,0.0612243372645819,0,0.00617712661590102,1.15820874637517e-18,0,0.0233447275609155,0.0202230350793807
